energy [eV]	total (gross)	total (net)	0 (gross)	0 (net)	1 (gross)	1 (net)	2 (gross)	2 (net)	3 (gross)	3 (net)	4 (gross)	4 (net)	5 (gross)	5 (net)	6 (gross)	6 (net)	7 (gross)	7 (net)	8 (gross)	8 (net)	9 (gross)	9 (net)	10 (gross)	10 (net)	11 (gross)	11 (net)	12 (gross)	12 (net)	13 (gross)	13 (net)	14 (gross)	14 (net)	15 (gross)	15 (net)	16 (gross)	16 (net)
2,304.00	0.4836	0.4836	1.204	1.204	1.311	1.311	1.166	1.166	0.8323	0.8323	0.6626	0.6626	0.6286	0.6286	0.4754	0.4754	0.4182	0.4182	0.3275	0.3275	0.2531	0.2531	0.2004	0.2004	0.1660	0.1660	0.1317	0.1317	0.1377	0.1377	0.09355	0.09355	0.1118	0.1118	0.1030	0.1030
2,306.00	0.4863	0.4863	1.232	1.232	1.288	1.288	1.182	1.182	0.8360	0.8360	0.6707	0.6707	0.6357	0.6357	0.4734	0.4734	0.4212	0.4212	0.3278	0.3278	0.2622	0.2622	0.2061	0.2061	0.1678	0.1678	0.1264	0.1264	0.1348	0.1348	0.1003	0.1003	0.1063	0.1063	0.09597	0.09597
2,308.00	0.4891	0.4891	1.259	1.259	1.289	1.289	1.186	1.186	0.8490	0.8490	0.6749	0.6749	0.6336	0.6336	0.4691	0.4691	0.4210	0.4210	0.3317	0.3317	0.2728	0.2728	0.2116	0.2116	0.1697	0.1697	0.1217	0.1217	0.1282	0.1282	0.1080	0.1080	0.09966	0.09966	0.08977	0.08977
2,310.00	0.4922	0.4922	1.280	1.280	1.317	1.317	1.183	1.183	0.8702	0.8702	0.6758	0.6758	0.6273	0.6273	0.4646	0.4646	0.4179	0.4179	0.3347	0.3347	0.2800	0.2800	0.2143	0.2143	0.1701	0.1701	0.1193	0.1193	0.1194	0.1194	0.1145	0.1145	0.09313	0.09313	0.08601	0.08601
2,312.00	0.4955	0.4955	1.293	1.293	1.369	1.369	1.178	1.178	0.8940	0.8940	0.6784	0.6784	0.6199	0.6199	0.4632	0.4632	0.4130	0.4130	0.3327	0.3327	0.2806	0.2806	0.2139	0.2139	0.1678	0.1678	0.1199	0.1199	0.1098	0.1098	0.1172	0.1172	0.08795	0.08795	0.08494	0.08494
2,314.00	0.4984	0.4984	1.296	1.296	1.430	1.430	1.174	1.174	0.9136	0.9136	0.6858	0.6858	0.6126	0.6126	0.4681	0.4681	0.4080	0.4080	0.3252	0.3252	0.2760	0.2760	0.2117	0.2117	0.1635	0.1635	0.1224	0.1224	0.1005	0.1005	0.1151	0.1151	0.08537	0.08537	0.08576	0.08576
2,316.00	0.5005	0.5005	1.290	1.290	1.482	1.482	1.174	1.174	0.9230	0.9230	0.6975	0.6975	0.6049	0.6049	0.4795	0.4795	0.4040	0.4040	0.3153	0.3153	0.2708	0.2708	0.2101	0.2101	0.1588	0.1588	0.1245	0.1245	0.09235	0.09235	0.1087	0.1087	0.08628	0.08628	0.08783	0.08783
2,318.00	0.5017	0.5017	1.281	1.281	1.513	1.513	1.176	1.176	0.9207	0.9207	0.7117	0.7117	0.5957	0.5957	0.4944	0.4944	0.4003	0.4003	0.3078	0.3078	0.2696	0.2696	0.2118	0.2118	0.1555	0.1555	0.1244	0.1244	0.08626	0.08626	0.09995	0.09995	0.09007	0.09007	0.09038	0.09038
2,320.00	0.5027	0.5027	1.277	1.277	1.522	1.522	1.179	1.179	0.9120	0.9120	0.7270	0.7270	0.5858	0.5858	0.5091	0.5091	0.3967	0.3967	0.3066	0.3066	0.2754	0.2754	0.2170	0.2170	0.1539	0.1539	0.1218	0.1218	0.08348	0.08348	0.09146	0.09146	0.09470	0.09470	0.09301	0.09301
2,322.00	0.5049	0.5049	1.283	1.283	1.517	1.517	1.184	1.184	0.9030	0.9030	0.7421	0.7421	0.5777	0.5777	0.5215	0.5215	0.3943	0.3943	0.3132	0.3132	0.2881	0.2881	0.2233	0.2233	0.1540	0.1540	0.1186	0.1186	0.08507	0.08507	0.08485	0.08485	0.09773	0.09773	0.09568	0.09568
2,324.00	0.5091	0.5091	1.299	1.299	1.516	1.516	1.188	1.188	0.8965	0.8965	0.7580	0.7580	0.5752	0.5752	0.5307	0.5307	0.3955	0.3955	0.3254	0.3254	0.3031	0.3031	0.2275	0.2275	0.1554	0.1554	0.1176	0.1176	0.09082	0.09082	0.08049	0.08049	0.09766	0.09766	0.09772	0.09772
2,326.00	0.5152	0.5152	1.322	1.322	1.530	1.530	1.193	1.193	0.8921	0.8921	0.7757	0.7757	0.5809	0.5809	0.5360	0.5360	0.4013	0.4013	0.3382	0.3382	0.3147	0.3147	0.2274	0.2274	0.1572	0.1572	0.1207	0.1207	0.09885	0.09885	0.07837	0.07837	0.09477	0.09477	0.09836	0.09836
2,328.00	0.5220	0.5220	1.343	1.343	1.557	1.557	1.201	1.201	0.8882	0.8882	0.7934	0.7934	0.5940	0.5940	0.5377	0.5377	0.4105	0.4105	0.3483	0.3483	0.3194	0.3194	0.2230	0.2230	0.1582	0.1582	0.1272	0.1272	0.1064	0.1064	0.07854	0.07854	0.09044	0.09044	0.09733	0.09733
2,330.00	0.5283	0.5283	1.357	1.357	1.589	1.589	1.216	1.216	0.8854	0.8854	0.8081	0.8081	0.6109	0.6109	0.5369	0.5369	0.4212	0.4212	0.3546	0.3546	0.3171	0.3171	0.2165	0.2165	0.1584	0.1584	0.1345	0.1345	0.1118	0.1118	0.08139	0.08139	0.08663	0.08663	0.09505	0.09505
2,332.00	0.5336	0.5336	1.362	1.362	1.617	1.617	1.239	1.239	0.8881	0.8881	0.8170	0.8170	0.6275	0.6275	0.5357	0.5357	0.4312	0.4312	0.3561	0.3561	0.3105	0.3105	0.2105	0.2105	0.1578	0.1578	0.1405	0.1405	0.1147	0.1147	0.08697	0.08697	0.08460	0.08460	0.09222	0.09222
2,334.00	0.5382	0.5382	1.362	1.362	1.637	1.637	1.267	1.267	0.9016	0.9016	0.8198	0.8198	0.6407	0.6407	0.5357	0.5357	0.4393	0.4393	0.3527	0.3527	0.3028	0.3028	0.2067	0.2067	0.1561	0.1561	0.1434	0.1434	0.1162	0.1162	0.09488	0.09488	0.08400	0.08400	0.08895	0.08895
2,336.00	0.5422	0.5422	1.364	1.364	1.649	1.649	1.295	1.295	0.9278	0.9278	0.8180	0.8180	0.6481	0.6481	0.5370	0.5370	0.4451	0.4451	0.3464	0.3464	0.2954	0.2954	0.2047	0.2047	0.1533	0.1533	0.1436	0.1436	0.1170	0.1170	0.1040	0.1040	0.08352	0.08352	0.08490	0.08490
2,338.00	0.5460	0.5460	1.374	1.374	1.662	1.662	1.318	1.318	0.9621	0.9621	0.8123	0.8123	0.6499	0.6499	0.5374	0.5374	0.4506	0.4506	0.3407	0.3407	0.2872	0.2872	0.2038	0.2038	0.1509	0.1509	0.1424	0.1424	0.1172	0.1172	0.1123	0.1123	0.08244	0.08244	0.07934	0.07934
2,340.00	0.5497	0.5497	1.395	1.395	1.681	1.681	1.333	1.333	0.9955	0.9955	0.8042	0.8042	0.6481	0.6481	0.5329	0.5329	0.4573	0.4573	0.3385	0.3385	0.2775	0.2775	0.2040	0.2040	0.1502	0.1502	0.1406	0.1406	0.1165	0.1165	0.1175	0.1175	0.08093	0.08093	0.07201	0.07201
