energy [eV]	total (gross)	total (net)	0 (gross)	0 (net)	1 (gross)	1 (net)	2 (gross)	2 (net)	3 (gross)	3 (net)	4 (gross)	4 (net)	5 (gross)	5 (net)	6 (gross)	6 (net)	7 (gross)	7 (net)	8 (gross)	8 (net)	9 (gross)	9 (net)	10 (gross)	10 (net)	11 (gross)	11 (net)	12 (gross)	12 (net)	13 (gross)	13 (net)	14 (gross)	14 (net)	15 (gross)	15 (net)	16 (gross)	16 (net)
978.00	6.220	6.220	5.465	5.465	13.46	13.46	11.88	11.88	10.55	10.55	9.046	9.046	7.134	7.134	5.683	5.683	4.940	4.940	4.548	4.548	4.199	4.199	4.185	4.185	4.160	4.160	4.074	4.074	4.150	4.150	4.037	4.037	4.077	4.077	4.147	4.147
980.00	6.233	6.233	5.507	5.507	13.50	13.50	11.98	11.98	10.53	10.53	8.990	8.990	7.132	7.132	5.652	5.652	4.968	4.968	4.536	4.536	4.287	4.287	4.152	4.152	4.134	4.134	4.140	4.140	4.160	4.160	4.053	4.053	4.077	4.077	4.164	4.164
982.00	6.250	6.250	5.543	5.543	13.54	13.54	12.03	12.03	10.50	10.50	8.954	8.954	7.166	7.166	5.630	5.630	5.007	5.007	4.533	4.533	4.386	4.386	4.123	4.123	4.126	4.126	4.203	4.203	4.167	4.167	4.076	4.076	4.083	4.083	4.185	4.185
984.00	6.269	6.269	5.559	5.559	13.56	13.56	12.03	12.03	10.46	10.46	8.958	8.958	7.223	7.223	5.635	5.635	5.052	5.052	4.538	4.538	4.478	4.478	4.109	4.109	4.139	4.139	4.248	4.248	4.176	4.176	4.099	4.099	4.090	4.090	4.211	4.211
986.00	6.285	6.285	5.549	5.549	13.56	13.56	11.98	11.98	10.43	10.43	9.001	9.001	7.279	7.279	5.670	5.670	5.089	5.089	4.540	4.540	4.548	4.548	4.114	4.114	4.168	4.168	4.269	4.269	4.193	4.193	4.115	4.115	4.091	4.091	4.243	4.243
988.00	6.295	6.295	5.516	5.516	13.53	13.53	11.91	11.91	10.41	10.41	9.076	9.076	7.311	7.311	5.728	5.728	5.104	5.104	4.531	4.531	4.595	4.595	4.134	4.134	4.206	4.206	4.268	4.268	4.221	4.221	4.122	4.122	4.084	4.084	4.283	4.283
990.00	6.301	6.301	5.477	5.477	13.48	13.48	11.83	11.83	10.40	10.40	9.172	9.172	7.307	7.307	5.795	5.795	5.092	5.092	4.509	4.509	4.622	4.622	4.162	4.162	4.244	4.244	4.257	4.257	4.255	4.255	4.124	4.124	4.070	4.070	4.330	4.330
992.00	6.305	6.305	5.446	5.446	13.43	13.43	11.75	11.75	10.42	10.42	9.271	9.271	7.271	7.271	5.856	5.856	5.058	5.058	4.480	4.480	4.629	4.629	4.193	4.193	4.272	4.272	4.253	4.253	4.288	4.288	4.127	4.127	4.062	4.062	4.380	4.380
994.00	6.310	6.310	5.431	5.431	13.40	13.40	11.70	11.70	10.46	10.46	9.357	9.357	7.222	7.222	5.896	5.896	5.012	5.012	4.460	4.460	4.619	4.619	4.221	4.221	4.285	4.285	4.263	4.263	4.322	4.322	4.136	4.136	4.072	4.072	4.425	4.425
996.00	6.322	6.322	5.432	5.432	13.41	13.41	11.67	11.67	10.51	10.51	9.429	9.429	7.191	7.191	5.913	5.913	4.965	4.965	4.459	4.459	4.597	4.597	4.247	4.247	4.285	4.285	4.286	4.286	4.356	4.356	4.160	4.160	4.104	4.104	4.458	4.458
998.00	6.340	6.340	5.447	5.447	13.44	13.44	11.66	11.66	10.58	10.58	9.488	9.488	7.197	7.197	5.912	5.912	4.925	4.925	4.477	4.477	4.566	4.566	4.270	4.270	4.278	4.278	4.312	4.312	4.388	4.388	4.200	4.200	4.155	4.155	4.478	4.478
1,000.00	6.363	6.363	5.476	5.476	13.49	13.49	11.67	11.67	10.64	10.64	9.528	9.528	7.240	7.240	5.897	5.897	4.901	4.901	4.500	4.500	4.536	4.536	4.290	4.290	4.273	4.273	4.338	4.338	4.424	4.424	4.254	4.254	4.221	4.221	4.486	4.486
1,002.00	6.388	6.388	5.518	5.518	13.51	13.51	11.71	11.71	10.69	10.69	9.543	9.543	7.307	7.307	5.878	5.878	4.895	4.895	4.516	4.516	4.521	4.521	4.301	4.301	4.279	4.279	4.358	4.358	4.463	4.463	4.316	4.316	4.293	4.293	4.486	4.486
1,004.00	6.414	6.414	5.578	5.578	13.52	13.52	11.76	11.76	10.74	10.74	9.534	9.534	7.380	7.380	5.862	5.862	4.907	4.907	4.524	4.524	4.520	4.520	4.301	4.301	4.297	4.297	4.376	4.376	4.498	4.498	4.377	4.377	4.363	4.363	4.487	4.487
1,006.00	6.437	6.437	5.654	5.654	13.52	13.52	11.83	11.83	10.78	10.78	9.498	9.498	7.442	7.442	5.852	5.852	4.935	4.935	4.531	4.531	4.527	4.527	4.292	4.292	4.319	4.319	4.391	4.391	4.519	4.519	4.424	4.424	4.421	4.421	4.490	4.490
1,008.00	6.457	6.457	5.732	5.732	13.54	13.54	11.89	11.89	10.82	10.82	9.454	9.454	7.482	7.482	5.849	5.849	4.976	4.976	4.552	4.552	4.534	4.534	4.284	4.284	4.338	4.338	4.402	4.402	4.525	4.525	4.447	4.447	4.465	4.465	4.489	4.489
1,010.00	6.475	6.475	5.786	5.786	13.59	13.59	11.94	11.94	10.85	10.85	9.420	9.420	7.504	7.504	5.861	5.861	5.027	5.027	4.597	4.597	4.532	4.532	4.289	4.289	4.349	4.349	4.405	4.405	4.516	4.516	4.450	4.450	4.493	4.493	4.476	4.476
1,012.00	6.491	6.491	5.804	5.804	13.65	13.65	11.95	11.95	10.88	10.88	9.401	9.401	7.515	7.515	5.890	5.890	5.091	5.091	4.664	4.664	4.521	4.521	4.321	4.321	4.356	4.356	4.399	4.399	4.506	4.506	4.443	4.443	4.508	4.508	4.452	4.452
1,014.00	6.509	6.509	5.786	5.786	13.72	13.72	11.93	11.93	10.92	10.92	9.388	9.388	7.530	7.530	5.937	5.937	5.166	5.166	4.735	4.735	4.510	4.510	4.383	4.383	4.370	4.370	4.393	4.393	4.504	4.504	4.440	4.440	4.512	4.512	4.422	4.422
1,016.00	6.529	6.529	5.745	5.745	13.79	13.79	11.90	11.90	10.96	10.96	9.369	9.369	7.556	7.556	5.991	5.991	5.244	5.244	4.793	4.793	4.511	4.511	4.467	4.467	4.401	4.401	4.393	4.393	4.514	4.514	4.454	4.454	4.513	4.513	4.393	4.393
1,018.00	6.551	6.551	5.699	5.699	13.84	13.84	11.87	11.87	11.00	11.00	9.342	9.342	7.594	7.594	6.042	6.042	5.309	5.309	4.823	4.823	4.528	4.528	4.554	4.554	4.451	4.451	4.405	4.405	4.528	4.528	4.486	4.486	4.511	4.511	4.378	4.378
1,020.00	6.574	6.574	5.664	5.664	13.88	13.88	11.87	11.87	11.04	11.04	9.316	9.316	7.640	7.640	6.075	6.075	5.355	5.355	4.824	4.824	4.558	4.558	4.624	4.624	4.515	4.515	4.430	4.430	4.542	4.542	4.533	4.533	4.506	4.506	4.389	4.389
1,022.00	6.597	6.597	5.647	5.647	13.92	13.92	11.90	11.90	11.06	11.06	9.313	9.313	7.681	7.681	6.087	6.087	5.379	5.379	4.804	4.804	4.590	4.590	4.661	4.661	4.580	4.580	4.461	4.461	4.555	4.555	4.583	4.583	4.498	4.498	4.428	4.428
1,024.00	6.619	6.619	5.646	5.646	13.97	13.97	11.95	11.95	11.07	11.07	9.353	9.353	7.712	7.712	6.087	6.087	5.384	5.384	4.775	4.775	4.615	4.615	4.663	4.663	4.624	4.624	4.489	4.489	4.571	4.571	4.629	4.629	4.488	4.488	4.489	4.489
1,026.00	6.638	6.638	5.661	5.661	14.01	14.01	12.02	12.02	11.07	11.07	9.430	9.430	7.734	7.734	6.081	6.081	5.381	5.381	4.749	4.749	4.636	4.636	4.640	4.640	4.636	4.636	4.510	4.510	4.596	4.596	4.661	4.661	4.481	4.481	4.561	4.561
1,028.00	6.656	6.656	5.684	5.684	14.05	14.05	12.07	12.07	11.07	11.07	9.526	9.526	7.752	7.752	6.079	6.079	5.376	5.376	4.733	4.733	4.657	4.657	4.612	4.612	4.615	4.615	4.522	4.522	4.630	4.630	4.673	4.673	4.478	4.478	4.630	4.630
1,030.00	6.672	6.672	5.703	5.703	14.08	14.08	12.10	12.10	11.08	11.08	9.606	9.606	7.773	7.773	6.087	6.087	5.369	5.369	4.732	4.732	4.684	4.684	4.596	4.596	4.578	4.578	4.530	4.530	4.668	4.668	4.667	4.667	4.478	4.478	4.688	4.688
1,032.00	6.688	6.688	5.707	5.707	14.12	14.12	12.12	12.12	11.12	11.12	9.648	9.648	7.796	7.796	6.104	6.104	5.363	5.363	4.744	4.744	4.715	4.715	4.605	4.605	4.545	4.545	4.543	4.543	4.701	4.701	4.650	4.650	4.480	4.480	4.730	4.730
1,034.00	6.703	6.703	5.695	5.695	14.15	14.15	12.13	12.13	11.16	11.16	9.653	9.653	7.816	7.816	6.132	6.132	5.358	5.358	4.772	4.772	4.744	4.744	4.636	4.636	4.537	4.537	4.570	4.570	4.727	4.727	4.633	4.633	4.480	4.480	4.753	4.753
1,036.00	6.719	6.719	5.665	5.665	14.18	14.18	12.16	12.16	11.20	11.20	9.638	9.638	7.824	7.824	6.179	6.179	5.353	5.353	4.816	4.816	4.761	4.761	4.680	4.680	4.559	4.559	4.614	4.614	4.743	4.743	4.624	4.624	4.476	4.476	4.754	4.754
1,038.00	6.737	6.737	5.624	5.624	14.21	14.21	12.22	12.22	11.21	11.21	9.637	9.637	7.819	7.819	6.249	6.249	5.347	5.347	4.873	4.873	4.762	4.762	4.723	4.723	4.600	4.600	4.669	4.669	4.749	4.749	4.623	4.623	4.475	4.475	4.735	4.735
1,040.00	6.755	6.755	5.577	5.577	14.23	14.23	12.30	12.30	11.20	11.20	9.664	9.664	7.804	7.804	6.340	6.340	5.340	5.340	4.939	4.939	4.751	4.751	4.755	4.755	4.650	4.650	4.724	4.724	4.750	4.750	4.626	4.626	4.485	4.485	4.703	4.703
1,042.00	6.775	6.775	5.527	5.527	14.25	14.25	12.40	12.40	11.19	11.19	9.717	9.717	7.787	7.787	6.449	6.449	5.326	5.326	5.000	5.000	4.734	4.734	4.772	4.772	4.697	4.697	4.765	4.765	4.748	4.748	4.629	4.629	4.510	4.510	4.673	4.673
1,044.00	6.794	6.794	5.470	5.470	14.28	14.28	12.48	12.48	11.17	11.17	9.779	9.779	7.780	7.780	6.567	6.567	5.313	5.313	5.048	5.048	4.721	4.721	4.772	4.772	4.732	4.732	4.788	4.788	4.745	4.745	4.628	4.628	4.553	4.553	4.666	4.666
1,046.00	6.813	6.813	5.412	5.412	14.30	14.30	12.55	12.55	11.17	11.17	9.828	9.828	7.789	7.789	6.673	6.673	5.312	5.312	5.078	5.078	4.722	4.722	4.762	4.762	4.751	4.751	4.795	4.795	4.742	4.742	4.624	4.624	4.607	4.607	4.693	4.693
1,048.00	6.830	6.830	5.357	5.357	14.33	14.33	12.58	12.58	11.20	11.20	9.846	9.846	7.811	7.811	6.747	6.747	5.335	5.335	5.092	5.092	4.744	4.744	4.745	4.745	4.752	4.752	4.798	4.798	4.738	4.738	4.620	4.620	4.656	4.656	4.751	4.751
1,050.00	6.844	6.844	5.305	5.305	14.34	14.34	12.59	12.59	11.26	11.26	9.833	9.833	7.844	7.844	6.777	6.777	5.388	5.388	5.099	5.099	4.788	4.788	4.723	4.723	4.733	4.733	4.805	4.805	4.736	4.736	4.620	4.620	4.684	4.684	4.824	4.824
1,052.00	6.855	6.855	5.261	5.261	14.35	14.35	12.58	12.58	11.34	11.34	9.810	9.810	7.875	7.875	6.759	6.759	5.461	5.461	5.107	5.107	4.846	4.846	4.700	4.700	4.701	4.701	4.822	4.822	4.733	4.733	4.622	4.622	4.685	4.685	4.891	4.891
1,054.00	6.864	6.864	5.233	5.233	14.35	14.35	12.58	12.58	11.42	11.42	9.803	9.803	7.892	7.892	6.702	6.702	5.534	5.534	5.117	5.117	4.906	4.906	4.684	4.684	4.668	4.668	4.849	4.849	4.729	4.729	4.628	4.628	4.665	4.665	4.933	4.933
1,056.00	6.872	6.872	5.218	5.218	14.36	14.36	12.59	12.59	11.50	11.50	9.832	9.832	7.896	7.896	6.626	6.626	5.583	5.583	5.126	5.126	4.955	4.955	4.677	4.677	4.648	4.648	4.876	4.876	4.726	4.726	4.644	4.644	4.643	4.643	4.941	4.941
1,058.00	6.880	6.880	5.209	5.209	14.39	14.39	12.60	12.60	11.54	11.54	9.897	9.897	7.894	7.894	6.552	6.552	5.602	5.602	5.129	5.129	4.981	4.981	4.676	4.676	4.646	4.646	4.895	4.895	4.723	4.723	4.673	4.673	4.634	4.634	4.922	4.922
1,060.00	6.890	6.890	5.200	5.200	14.45	14.45	12.63	12.63	11.55	11.55	9.980	9.980	7.903	7.903	6.487	6.487	5.599	5.599	5.128	5.128	4.982	4.982	4.684	4.684	4.667	4.667	4.900	4.900	4.719	4.719	4.716	4.716	4.645	4.645	4.888	4.888
1,062.00	6.903	6.903	5.187	5.187	14.56	14.56	12.65	12.65	11.52	11.52	10.05	10.05	7.936	7.936	6.434	6.434	5.589	5.589	5.126	5.126	4.963	4.963	4.702	4.702	4.709	4.709	4.896	4.896	4.715	4.715	4.778	4.778	4.667	4.667	4.856	4.856
1,064.00	6.922	6.922	5.173	5.173	14.70	14.70	12.69	12.69	11.48	11.48	10.10	10.10	7.990	7.990	6.398	6.398	5.588	5.588	5.121	5.121	4.941	4.941	4.727	4.727	4.765	4.765	4.890	4.890	4.722	4.722	4.855	4.855	4.693	4.693	4.841	4.841
1,066.00	6.950	6.950	5.165	5.165	14.83	14.83	12.75	12.75	11.47	11.47	10.11	10.11	8.047	8.047	6.383	6.383	5.600	5.600	5.109	5.109	4.937	4.937	4.766	4.766	4.828	4.828	4.895	4.895	4.743	4.743	4.942	4.942	4.725	4.725	4.842	4.842
1,068.00	6.985	6.985	5.172	5.172	14.93	14.93	12.83	12.83	11.50	11.50	10.09	10.09	8.086	8.086	6.393	6.393	5.615	5.615	5.090	5.090	4.965	4.965	4.819	4.819	4.893	4.893	4.923	4.923	4.784	4.784	5.026	5.026	4.763	4.763	4.857	4.857
1,070.00	7.025	7.025	5.198	5.198	14.98	14.98	12.93	12.93	11.57	11.57	10.05	10.05	8.098	8.098	6.424	6.424	5.625	5.625	5.077	5.077	5.022	5.022	4.880	4.880	4.954	4.954	4.973	4.973	4.851	4.851	5.097	5.097	4.809	4.809	4.879	4.879
1,072.00	7.065	7.065	5.235	5.235	14.97	14.97	13.01	13.01	11.68	11.68	10.00	10.00	8.091	8.091	6.471	6.471	5.633	5.633	5.079	5.079	5.091	5.091	4.936	4.936	5.009	5.009	5.041	5.041	4.937	4.937	5.146	5.146	4.856	4.856	4.902	4.902
1,074.00	7.100	7.100	5.278	5.278	14.92	14.92	13.07	13.07	11.81	11.81	9.953	9.953	8.080	8.080	6.523	6.523	5.650	5.650	5.103	5.103	5.154	5.154	4.981	4.981	5.053	5.053	5.119	5.119	5.027	5.027	5.172	5.172	4.897	4.897	4.925	4.925
1,076.00	7.129	7.129	5.322	5.322	14.85	14.85	13.08	13.08	11.92	11.92	9.908	9.908	8.084	8.084	6.565	6.565	5.682	5.682	5.145	5.145	5.194	5.194	5.009	5.009	5.081	5.081	5.193	5.193	5.107	5.107	5.179	5.179	4.925	4.925	4.957	4.957
1,078.00	7.150	7.150	5.359	5.359	14.79	14.79	13.05	13.05	12.01	12.01	9.879	9.879	8.104	8.104	6.593	6.593	5.730	5.730	5.189	5.189	5.202	5.202	5.021	5.021	5.088	5.088	5.252	5.252	5.166	5.166	5.175	5.175	4.941	4.941	5.002	5.002
1,080.00	7.163	7.163	5.383	5.383	14.75	14.75	12.99	12.99	12.08	12.08	9.877	9.877	8.137	8.137	6.606	6.606	5.785	5.785	5.221	5.221	5.185	5.185	5.026	5.026	5.073	5.073	5.282	5.282	5.200	5.200	5.170	5.170	4.949	4.949	5.055	5.055
1,082.00	7.168	7.168	5.397	5.397	14.73	14.73	12.90	12.90	12.13	12.13	9.901	9.901	8.166	8.166	6.607	6.607	5.831	5.831	5.238	5.238	5.153	5.153	5.039	5.039	5.042	5.042	5.279	5.279	5.213	5.213	5.170	5.170	4.950	4.950	5.106	5.106
1,084.00	7.170	7.170	5.400	5.400	14.73	14.73	12.84	12.84	12.16	12.16	9.950	9.950	8.176	8.176	6.599	6.599	5.858	5.858	5.252	5.252	5.119	5.119	5.065	5.065	5.009	5.009	5.248	5.248	5.221	5.221	5.173	5.173	4.946	4.946	5.143	5.143
1,086.00	7.173	7.173	5.387	5.387	14.74	14.74	12.82	12.82	12.17	12.17	10.02	10.02	8.164	8.164	6.591	6.591	5.873	5.873	5.274	5.274	5.104	5.104	5.101	5.101	4.987	4.987	5.201	5.201	5.231	5.231	5.176	5.176	4.945	4.945	5.161	5.161
1,088.00	7.181	7.181	5.355	5.355	14.75	14.75	12.87	12.87	12.15	12.15	10.10	10.10	8.137	8.137	6.595	6.595	5.889	5.889	5.308	5.308	5.121	5.121	5.134	5.134	4.981	4.981	5.156	5.156	5.243	5.243	5.176	5.176	4.953	4.953	5.164	5.164
1,090.00	7.196	7.196	5.309	5.309	14.79	14.79	12.97	12.97	12.11	12.11	10.19	10.19	8.105	8.105	6.619	6.619	5.913	5.913	5.350	5.350	5.172	5.172	5.149	5.149	4.984	4.984	5.124	5.124	5.247	5.247	5.163	5.163	4.974	4.974	5.165	5.165
1,092.00	7.216	7.216	5.256	5.256	14.85	14.85	13.10	13.10	12.06	12.06	10.29	10.29	8.081	8.081	6.667	6.667	5.944	5.944	5.389	5.389	5.243	5.243	5.139	5.139	4.988	4.988	5.106	5.106	5.231	5.231	5.136	5.136	5.006	5.006	5.177	5.177
1,094.00	7.237	7.237	5.214	5.214	14.96	14.96	13.25	13.25	12.00	12.00	10.39	10.39	8.075	8.075	6.731	6.731	5.975	5.975	5.414	5.414	5.308	5.308	5.109	5.109	4.991	4.991	5.091	5.091	5.188	5.188	5.105	5.105	5.039	5.039	5.200	5.200
1,096.00	7.255	7.255	5.201	5.201	15.07	15.07	13.38	13.38	11.94	11.94	10.48	10.48	8.081	8.081	6.787	6.787	5.997	5.997	5.422	5.422	5.347	5.347	5.070	5.070	4.999	4.999	5.074	5.074	5.125	5.125	5.078	5.078	5.065	5.065	5.227	5.227
1,098.00	7.270	7.270	5.223	5.223	15.16	15.16	13.49	13.49	11.90	11.90	10.56	10.56	8.093	8.093	6.814	6.814	6.005	6.005	5.421	5.421	5.353	5.353	5.038	5.038	5.017	5.017	5.059	5.059	5.060	5.060	5.065	5.065	5.080	5.080	5.248	5.248
1,100.00	7.283	7.283	5.265	5.265	15.19	15.19	13.57	13.57	11.89	11.89	10.63	10.63	8.108	8.108	6.808	6.808	6.008	6.008	5.426	5.426	5.336	5.336	5.024	5.024	5.053	5.053	5.060	5.060	5.015	5.015	5.075	5.075	5.089	5.089	5.255	5.255
1,102.00	7.299	7.299	5.311	5.311	15.18	15.18	13.62	13.62	11.91	11.91	10.69	10.69	8.131	8.131	6.786	6.786	6.011	6.011	5.443	5.443	5.314	5.314	5.038	5.038	5.105	5.105	5.092	5.092	5.000	5.000	5.107	5.107	5.095	5.095	5.249	5.249
1,104.00	7.323	7.323	5.345	5.345	15.14	15.14	13.67	13.67	11.96	11.96	10.73	10.73	8.175	8.175	6.774	6.774	6.015	6.015	5.471	5.471	5.308	5.308	5.077	5.077	5.162	5.162	5.156	5.156	5.016	5.016	5.150	5.150	5.099	5.099	5.239	5.239
1,106.00	7.357	7.357	5.355	5.355	15.13	15.13	13.70	13.70	12.06	12.06	10.76	10.76	8.252	8.252	6.792	6.792	6.018	6.018	5.501	5.501	5.326	5.326	5.132	5.132	5.219	5.219	5.238	5.238	5.052	5.052	5.197	5.197	5.103	5.103	5.238	5.238
1,108.00	7.401	7.401	5.346	5.346	15.18	15.18	13.74	13.74	12.17	12.17	10.78	10.78	8.360	8.360	6.847	6.847	6.023	6.023	5.524	5.524	5.358	5.358	5.194	5.194	5.275	5.275	5.317	5.317	5.098	5.098	5.249	5.249	5.109	5.109	5.250	5.250
1,110.00	7.452	7.452	5.338	5.338	15.29	15.29	13.80	13.80	12.30	12.30	10.78	10.78	8.482	8.482	6.933	6.933	6.031	6.031	5.536	5.536	5.391	5.391	5.248	5.248	5.328	5.328	5.378	5.378	5.148	5.148	5.308	5.308	5.119	5.119	5.273	5.273
1,112.00	7.507	7.507	5.341	5.341	15.44	15.44	13.87	13.87	12.44	12.44	10.78	10.78	8.599	8.599	7.036	7.036	6.051	6.051	5.542	5.542	5.420	5.420	5.287	5.287	5.380	5.380	5.416	5.416	5.201	5.201	5.375	5.375	5.135	5.135	5.301	5.301
1,114.00	7.566	7.566	5.362	5.362	15.59	15.59	13.96	13.96	12.58	12.58	10.82	10.82	8.693	8.693	7.148	7.148	6.093	6.093	5.560	5.560	5.445	5.445	5.315	5.315	5.427	5.427	5.439	5.439	5.254	5.254	5.450	5.450	5.162	5.162	5.328	5.328
1,116.00	7.630	7.630	5.402	5.402	15.72	15.72	14.04	14.04	12.73	12.73	10.90	10.90	8.764	8.764	7.268	7.268	6.155	6.155	5.602	5.602	5.481	5.481	5.343	5.343	5.465	5.465	5.456	5.456	5.304	5.304	5.523	5.523	5.197	5.197	5.352	5.352
1,118.00	7.702	7.702	5.461	5.461	15.84	15.84	14.11	14.11	12.90	12.90	11.04	11.04	8.838	8.838	7.400	7.400	6.230	6.230	5.673	5.673	5.540	5.540	5.380	5.380	5.490	5.490	5.475	5.475	5.356	5.356	5.576	5.576	5.233	5.233	5.384	5.384
1,120.00	7.783	7.783	5.532	5.532	15.95	15.95	14.17	14.17	13.09	13.09	11.24	11.24	8.941	8.941	7.542	7.542	6.307	6.307	5.765	5.765	5.621	5.621	5.431	5.431	5.504	5.504	5.499	5.499	5.419	5.419	5.599	5.599	5.268	5.268	5.427	5.427
1,122.00	7.874	7.874	5.615	5.615	16.08	16.08	14.26	14.26	13.31	13.31	11.46	11.46	9.089	9.089	7.693	7.693	6.383	6.383	5.863	5.863	5.714	5.714	5.498	5.498	5.513	5.513	5.529	5.529	5.496	5.496	5.589	5.589	5.298	5.298	5.480	5.480
1,124.00	7.978	7.978	5.711	5.711	16.25	16.25	14.40	14.40	13.55	13.55	11.68	11.68	9.283	9.283	7.852	7.852	6.467	6.467	5.955	5.955	5.805	5.805	5.580	5.580	5.524	5.524	5.563	5.563	5.583	5.583	5.551	5.551	5.328	5.328	5.539	5.539
1,126.00	8.094	8.094	5.815	5.815	16.45	16.45	14.63	14.63	13.81	13.81	11.91	11.91	9.510	9.510	8.009	8.009	6.582	6.582	6.035	6.035	5.883	5.883	5.673	5.673	5.550	5.550	5.598	5.598	5.664	5.664	5.501	5.501	5.364	5.364	5.601	5.601
1,128.00	8.223	8.223	5.923	5.923	16.71	16.71	14.95	14.95	14.10	14.10	12.14	12.14	9.745	9.745	8.160	8.160	6.746	6.746	6.106	6.106	5.940	5.940	5.777	5.777	5.600	5.600	5.637	5.637	5.722	5.722	5.460	5.460	5.411	5.411	5.662	5.662
1,130.00	8.365	8.365	6.028	6.028	17.01	17.01	15.34	15.34	14.42	14.42	12.38	12.38	9.976	9.976	8.308	8.308	6.961	6.961	6.182	6.182	5.983	5.983	5.881	5.881	5.685	5.685	5.679	5.679	5.746	5.746	5.444	5.444	5.469	5.469	5.721	5.721
1,132.00	8.524	8.524	6.125	6.125	17.35	17.35	15.77	15.77	14.78	14.78	12.67	12.67	10.21	10.21	8.467	8.467	7.205	7.205	6.280	6.280	6.025	6.025	5.973	5.973	5.800	5.800	5.723	5.723	5.746	5.746	5.461	5.461	5.538	5.538	5.780	5.780
1,134.00	8.700	8.700	6.213	6.213	17.74	17.74	16.24	16.24	15.19	15.19	13.01	13.01	10.49	10.49	8.649	8.649	7.450	7.450	6.408	6.408	6.075	6.075	6.038	6.038	5.928	5.928	5.770	5.770	5.740	5.740	5.510	5.510	5.619	5.619	5.836	5.836
1,136.00	8.893	8.893	6.300	6.300	18.16	18.16	16.72	16.72	15.64	15.64	13.42	13.42	10.82	10.82	8.862	8.862	7.672	7.672	6.569	6.569	6.146	6.146	6.075	6.075	6.040	6.040	5.819	5.819	5.746	5.746	5.583	5.583	5.706	5.706	5.886	5.886
1,138.00	9.101	9.101	6.400	6.400	18.62	18.62	17.23	17.23	16.11	16.11	13.90	13.90	11.23	11.23	9.115	9.115	7.864	7.864	6.759	6.759	6.245	6.245	6.096	6.096	6.114	6.114	5.870	5.870	5.773	5.773	5.670	5.670	5.790	5.790	5.934	5.934
1,140.00	9.322	9.322	6.519	6.519	19.12	19.12	17.74	17.74	16.58	16.58	14.42	14.42	11.71	11.71	9.398	9.398	8.037	8.037	6.961	6.961	6.366	6.366	6.127	6.127	6.141	6.141	5.924	5.924	5.823	5.823	5.758	5.758	5.865	5.865	5.984	5.984
1,142.00	9.549	9.549	6.652	6.652	19.64	19.64	18.26	18.26	17.06	17.06	14.94	14.94	12.23	12.23	9.691	9.691	8.214	8.214	7.154	7.154	6.501	6.501	6.184	6.184	6.140	6.140	5.985	5.985	5.889	5.889	5.832	5.832	5.923	5.923	6.036	6.036
1,144.00	9.779	9.779	6.790	6.790	20.17	20.17	18.78	18.78	17.55	17.55	15.47	15.47	12.75	12.75	9.984	9.984	8.404	8.404	7.323	7.323	6.639	6.639	6.273	6.273	6.144	6.144	6.055	6.055	5.967	5.967	5.883	5.883	5.960	5.960	6.096	6.096
1,146.00	10.01	10.01	6.925	6.925	20.69	20.69	19.31	19.31	18.07	18.07	15.99	15.99	13.25	13.25	10.28	10.28	8.603	8.603	7.466	7.466	6.773	6.773	6.382	6.382	6.183	6.183	6.133	6.133	6.053	6.053	5.915	5.915	5.981	5.981	6.167	6.167
1,148.00	10.24	10.24	7.051	7.051	21.22	21.22	19.84	19.84	18.64	18.64	16.51	16.51	13.71	13.71	10.57	10.57	8.804	8.804	7.594	7.594	6.898	6.898	6.489	6.489	6.265	6.265	6.217	6.217	6.148	6.148	5.938	5.938	5.994	5.994	6.248	6.248
1,150.00	10.48	10.48	7.173	7.173	21.76	21.76	20.38	20.38	19.24	19.24	17.05	17.05	14.13	14.13	10.88	10.88	8.993	8.993	7.716	7.716	7.011	7.011	6.575	6.575	6.381	6.381	6.305	6.305	6.249	6.249	5.966	5.966	6.011	6.011	6.330	6.330
1,152.00	10.72	10.72	7.303	7.303	22.35	22.35	20.92	20.92	19.83	19.83	17.59	17.59	14.51	14.51	11.21	11.21	9.156	9.156	7.843	7.843	7.115	7.115	6.632	6.632	6.504	6.504	6.390	6.390	6.349	6.349	6.009	6.009	6.048	6.048	6.405	6.405
1,154.00	10.95	10.95	7.451	7.451	22.98	22.98	21.47	21.47	20.40	20.40	18.13	18.13	14.85	14.85	11.54	11.54	9.292	9.292	7.974	7.974	7.210	7.210	6.671	6.671	6.606	6.606	6.465	6.465	6.439	6.439	6.072	6.072	6.107	6.107	6.463	6.463
1,156.00	11.17	11.17	7.620	7.620	23.63	23.63	22.01	22.01	20.94	20.94	18.66	18.66	15.19	15.19	11.86	11.86	9.406	9.406	8.100	8.100	7.299	7.299	6.708	6.708	6.674	6.674	6.524	6.524	6.512	6.512	6.149	6.149	6.185	6.185	6.501	6.501
1,158.00	11.39	11.39	7.803	7.803	24.23	24.23	22.53	22.53	21.45	21.45	19.15	19.15	15.52	15.52	12.14	12.14	9.502	9.502	8.215	8.215	7.379	7.379	6.755	6.755	6.714	6.714	6.565	6.565	6.566	6.566	6.236	6.236	6.272	6.272	6.521	6.521
